candidate_name,channel_id,title,handle,subscriber_count,video_count,recent_video_count_30d,recent_video_titles_sample,resolve_method,confidence,decision,reason,quality_tier,intake_batch
School of Scent,UC7yWwH6peQbpfLMVKKuR-xg,School of Scent,@schoolofscent,319000,1474,15,The Safest Summer Fragrances To Blind Buy In 2026; High Rated Summer Niche Fragrances; Niche Fragrances Every Man Should Keep A Secret,channel_id_direct,high,SKIP_DUPLICATE,channel_id UC7yWwH6peQbpfLMVKKuR-xg already in youtube_channels,tier_2,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
FBFragrances,UCNDQy3YbPtp37i7B91f6kFQ,FBFragrances,@fbfragrances,313000,1554,15,Sharing is caring Lattafa #cologne; I wore Sosprio Vibrato every day for a week #cologne #fragrance; Uber driver fragrance talk #cologne,channel_id_direct,high,SKIP_DUPLICATE,channel_id UCNDQy3YbPtp37i7B91f6kFQ already in youtube_channels,tier_2,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
Amanzada Perfumes,UC1ZIeqgDEyIyB6srbqfIehQ,Amanzada Perfumes,@officialamanzadaperfumes,255000,884,15,Would you like have the papa? #khanjar; Next shipment on the way! #amanzadaperfumesuk; He didn’t know! #signature,channel_id_direct,high,VERIFIED_ADD_READY,15 video(s) in last 30 days (channel_id pre-validated),tier_2,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
TheCologneBoy,UCWVcO9sn0OEOON6JM1-bhRw,TheCologneBoy,@thecologneboy,250000,955,4,Best Oud Fragrance under $30! #cologne #fragrance #thecologneboy; All i ask is that you pray for me😊🙏🏻  #cologne #fragrance #thecologneboy; house tour pt1! #cologne #fragrance #thecologneboy,channel_id_direct,high,VERIFIED_ADD_READY,4 video(s) in last 30 days (channel_id pre-validated),tier_2,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
MC Colognes,UCwC5SYktSjM2zlswRYUvg6w,MC Colognes,@mccolognes,237000,787,12,10 Colognes I’ve Been Wearing Most Lately; 10 Colognes I’d Buy 1st If I Was a Guy #mencologne; TOP 10 SUMMER FRAGRANCES FOR MEN,channel_id_direct,high,SKIP_DUPLICATE,channel_id UCwC5SYktSjM2zlswRYUvg6w already in youtube_channels,tier_2,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
perfumerism,UCKtI2EPpyNu27M4BNeCVg9w,perfumerism,@perfumerism,232000,258,9,silently reviewing NEW fragrance launches!; trying VIRAL arab perfume dupes: are they worth it? #perfumetiktok; What is the best layering combo for Milk Orchid? (trying YOUR fav combos!),channel_id_direct,high,VERIFIED_ADD_READY,9 video(s) in last 30 days (channel_id pre-validated),tier_2,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
BowTie FragranceGuy,UCVvzGrPSok_sf8hfDhvTg7w,BowTie FragranceGuy,@bowtiefragranceguy,216000,1347,13,I Didn’t Expect THESE To Be This Good! (NEW RELEASES); The “Come Closer” Fragrances You Need In Your Collection; The ONLY 5 Fragrances A Man Needs…FOREVER! (Initio Parfums),channel_id_direct,high,VERIFIED_ADD_READY,13 video(s) in last 30 days (channel_id pre-validated),tier_2,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
Jus de Rose,UCflkhyQuNBeiw3__1TUXXNg,Jus de Rose,@jusderose,210000,352,0,,channel_id_direct,high,SKIP_INACTIVE,No videos published in last 30 days,tier_2,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
TLTG Reviews,UCmYZrY_MVZy5Iiwlua029kg,TLTG Reviews,@tltgreviews,197000,4752,15,Safely Pack Your Fragrance Collection To Move #shorts #fragrance; My 4 Favorite Fragrances; Some Fragrances Just Smell Better Than Everything Else,channel_id_direct,high,SKIP_DUPLICATE,channel_id UCmYZrY_MVZy5Iiwlua029kg already in youtube_channels,tier_2,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
Perfume Gyaan,UCFpeJ0JD72StpPtGNp0sDEA,Perfume Gyaan,@perfumegyaan,190000,387,5,First Beardo perfume which smells Niche!; 10 Cheap BLIND BUY Safe Perfume for Students🔥Massive Discount (15-25% Discount); Rasasi Daarej Extrait Perfume Review | Get 10% Discount!,channel_id_direct,high,SKIP_DUPLICATE,channel_id UCFpeJ0JD72StpPtGNp0sDEA already in youtube_channels,tier_2,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
Aaron Terence Hughes,UCJ7EzNsSGFBx1w5KQqRzMqA,Aaron Terence Hughes,@aaronterencehughes,168000,727,4,'VIBRATO' by Sospiro | Perfumer Reviews; Preview: 'VIBRATO' by Sospiro | Perfumer Reviews; NEW! 'Blood Orange' | Aaron Terence Hughes,channel_id_direct,high,VERIFIED_ADD_READY,4 video(s) in last 30 days (channel_id pre-validated),tier_2,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
Rahul Sidwan,UCJwpKisjUoqk0GWbB98kv-Q,Rahul Sidwan,@rahulsidwan,167000,941,15,Budget Fresh Perfumes That Smell EXPENSIVE 🔥; My Gym smells Expensive😎💪; 10 Summer Perfumes That Smell INSANELY Good and Long Lasting Too 😮‍💨☀️,channel_id_direct,high,SKIP_DUPLICATE,channel_id UCJwpKisjUoqk0GWbB98kv-Q already in youtube_channels,tier_2,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
Best Brands Perfume,UC7RSI_-mORXwIpM2ZyfO2Ug,Best Brands Perfume,@bestbrandsperfume,165000,2093,15,20 clone fragrance to buy if you want to smell rich; Fragrance Alert  BDK Gris Charnel Dupe Revealed!; Hawas Ice  Invictus Frozen Fragrance Review,channel_id_direct,high,SKIP_DUPLICATE,channel_id UC7RSI_-mORXwIpM2ZyfO2Ug already in youtube_channels,tier_2,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
"Perfume Talk: fragrance reviews, cologne exploring",UCfl4dA6LMfkC-wNZjWMlR2g,"Perfume Talk: fragrance reviews, cologne exploring",@parfumexquis,161000,1321,15,Best Marshmallow Perfumes 🍡  #perfume #nichefragrance; Staff Pick ✨ Renier Fragrances; Montale Be My Plum + Same-Vibe Scents,channel_id_direct,high,VERIFIED_ADD_READY,15 video(s) in last 30 days (channel_id pre-validated),tier_2,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
Chad Secrets,UCojZ5eKUVxgvCppVjzA-7QA,Chad Secrets,@chadsecrets,152000,810,15,Why my Fragrance Content Changed!; Watch This Before Buying Clone Fragrances!; Yves Saint Laurent Y Iced Cologne Review!,channel_id_direct,high,SKIP_DUPLICATE,channel_id UCojZ5eKUVxgvCppVjzA-7QA already in youtube_channels,tier_2,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
Cal Cologne,UCiC5uxWi4WGrR1Suo8I4PqA,Cal Cologne,@calcologne,138000,966,15,Ranking my 6 Le Persona Fragrances in order. #fragrance #cologne #perfume #fragrances #lepersona; Ranking Every Le Persona Fragrance From Worst to Best; Zenith Santal is a great fragrance #zenithsantal #fragrance #cologne #perfume,channel_id_direct,high,SKIP_DUPLICATE,channel_id UCiC5uxWi4WGrR1Suo8I4PqA already in youtube_channels,tier_2,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
The Niche Fragrance Collector,UCOHMCV58yR2Wr_BfT_S-Xlw,The Niche Fragrance Collector,@thenichefragrancecollector,136000,649,13,"MONEGAL Perfume Royalty!  Blind Smelling and Ranking - Flamenco, LoveReaction & Siesta; Intense, Polarising & Brutally Beautiful - 6 Fragrances To Excite your Collection; The BEST HeadTurner Fragrance? Blind Ranking - Wavechild - Vanilla Tana - La Cautiva",channel_id_direct,high,SKIP_DUPLICATE,channel_id UCOHMCV58yR2Wr_BfT_S-Xlw already in youtube_channels,tier_2,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
Joy Amin,UCQXf2ConvI79TbrUlI3198A,Joy Amin,@joyamin666,119000,5929,15,Top 15 Rayhaan Fragrance Guide (2026); Paris Corner Khair Peach Delulu Fragrance Review (2025); Rayhaan Pharaoh Fragrance Review (2026),channel_id_direct,high,SKIP_DUPLICATE,channel_id UCQXf2ConvI79TbrUlI3198A already in youtube_channels,tier_2,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
Monika Cioch,UCi42yeT0_OLeouUQhDBVZjQ,Monika Cioch ,@monikacioch,116000,602,15,MY HUSBAND REACTS TO MY 14 NEW PERFUMES 🤭; Some of my faves #perfume #perfume; 10 Most Complimented Perfumes Now,channel_id_direct,high,SKIP_DUPLICATE,channel_id UCi42yeT0_OLeouUQhDBVZjQ already in youtube_channels,tier_2,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
Cherayeslifestyle,UCG2E1nDbU-r2ay86tPeHdxg,Cherayeslifestyle,@cherayeslifestyle,115000,1568,15,COME UNBOX SOME PR PACKAGES WITH ME; I SPENT $$$$ AT SEPHORA | HUGE SEPHORA FRAGRANCE HAUL; MY MOST WORN PERFUMES #fragrance #luxuryfragrance #shorts,channel_id_direct,high,SKIP_DUPLICATE,channel_id UCG2E1nDbU-r2ay86tPeHdxg already in youtube_channels,tier_2,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
Mom Perfumes,UCEL37qeml61ax4MNtZmnRxQ,Mom Perfumes,@momperfumes,103000,357,3,Top 10 Perfumes From The House Of Lattafa #perfume #trending #youtube #youtubeshorts #shorts #fyp; Best Summer Perfumes In Budget | Most Hyped | Compliment Getter | New Unboxing | Giveaway Alert 😍; We Tested All LV Imagination Clones And Found The Best One | Must Watch | Like | Comment | Share |,channel_id_direct,high,SKIP_DUPLICATE,channel_id UCEL37qeml61ax4MNtZmnRxQ already in youtube_channels,tier_2,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
Mila Le Blanc,UCta4sjQtsMUtBCkI811ocfA,Mila Le Blanc,@milaleblanc,98600,157,6,"I SPENT THE MOST CHAOTIC WEEKEND IN MILAN | Mila Le Blanc 2026; CHATTY PERFUME HAUL… SOME ARE AMAZING, SOME ARE TRASH 😭 | Mila Le Blanc 2026; I THOUGHT I WAS GOING TO DIE… THEN THIS HAPPENED (VLOG) | Mila Le Blanc 2026",channel_id_direct,high,VERIFIED_ADD_READY,6 video(s) in last 30 days (channel_id pre-validated),tier_2,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
Ksenja,UCAj2eCFI8Khv_WAwUxFnx2w,Ksenja,@ksenja6023,86600,631,11,This Video Will Change Your Mind About Your Skin But Better Perfumes..These are Compliment MAGNETS!; NEW PERFUME RELEASES 2026!; This is Why Your Perfumes Never Last...THE TRUTH,channel_id_direct,high,VERIFIED_ADD_READY,11 video(s) in last 30 days (channel_id pre-validated),tier_2,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
Tarique Fragrance,UC7jAHW1aoj8T1G_v9rCM-DQ,Tarique Fragrance,@tariquefragrance,85500,752,15,Scent Profile Is Good But! Fogg F20 Fabulous Sea Breeze & Fabulous Code Perfume Review; Riiffs Freeze Hype ❌ Review ✅; Only One Perfume To Buy From Yardley London Latest Perfumes,channel_id_direct,high,VERIFIED_ADD_READY,15 video(s) in last 30 days (channel_id pre-validated),tier_2,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
Paulina&Perfumes,UCL_NG3Uwy9EEEWUoltLYfVg,Paulina&Perfumes,@paulina.perfumes,85100,960,5,THESE NEW MANGO TROPICAL PERFUMES ARE ELITE! 🥭 NEW MANGO SCENTS SPRING 2026 | Paulina&Perfumes; THE BEST OF THE BEST! ARABIAN SPRING PERFUMES 2026 PARIS CORNER | PERFUME REVIEW | Paulina&Perfumes; FINALLY! BEST AFFORDABLE GOURMANDS! ARABIYAT SUGAR  REVIEW PART2 | PERFUME REVIEW | Paulina&Perfumes,channel_id_direct,high,SKIP_DUPLICATE,channel_id UCL_NG3Uwy9EEEWUoltLYfVg already in youtube_channels,tier_2,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
Baldassarre Fragrance,UCT5GB0dJPVEfqk2wpwQI1_w,Baldassarre Fragrance,@baldassarrefragrance,83700,75,0,,channel_id_direct,high,SKIP_INACTIVE,No videos published in last 30 days,tier_2,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
FragranceFlan,UCTMtNhRZ8-QRTsyiojH8Zqg,FragranceFlan,@fragranceflan,81200,496,15,Y’all been asking for this fragrance 🤝; Barcelona or Madrid?? ⚽️; This fragrance has insane projection 😅,channel_id_direct,high,SKIP_DUPLICATE,channel_id UCTMtNhRZ8-QRTsyiojH8Zqg already in youtube_channels,tier_2,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
Sharida M,UCyvfQ7mtHGP14349D6WgXYg,Sharida M,@sharidam,77500,780,15,COMPLIMENT MAGNET PERFUMES | SPRING EDITION; Sweet & Classy: 6 Luxurious Fragrances That Prove You Can Smell Both; Smell Both SWEET & CLASSY With These Perfumes! Elevated Sweet Fragrances,channel_id_direct,high,SKIP_DUPLICATE,channel_id UCyvfQ7mtHGP14349D6WgXYg already in youtube_channels,tier_2,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
Clémence CC Fragrance,UC-DfexEWlXE126j7wvB4iWA,Clémence CC Fragrance,@clemenceccfragrance,76500,663,1,FRAGRANCE EXPERTS REACTS: NEW MATIERE PREMIERE & BEST RECOMMANDATIONS #perfumeshorts #metallavender,channel_id_direct,high,VERIFIED_ADD_READY,1 video(s) in last 30 days (channel_id pre-validated),tier_2,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
ccfragrances,UC51NlSiV9JKwDiVwBMH9tpw,ccfragrances,@ccfragrances,75100,115,0,,channel_id_direct,high,SKIP_INACTIVE,No videos published in last 30 days,tier_2,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
FragranceView,UC_Zj9atmpE2MQBtzTfqDFfw,FragranceView,@fragranceview,66900,618,2,India 2026 Reflections; Returned from India,channel_id_direct,high,VERIFIED_ADD_READY,2 video(s) in last 30 days (channel_id pre-validated),tier_2,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
Smelly Cat,UCE1MVQrpWEgR9wI5nwJcfxA,Smelly Cat,@smellycatreviews,63500,210,0,,channel_id_direct,high,SKIP_INACTIVE,No videos published in last 30 days,tier_2,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
Extra Gents Scents,UC-SRft7aJvNDwSNhJfDfOhA,Extra Gents Scents,@extragentsscents,60900,240,8,Keep 10 Designer Fragrances FOR LIFE; Montblanc Legend Elixir - Watch Before Buying!; TRASH Clone Fragrances,channel_id_direct,high,VERIFIED_ADD_READY,8 video(s) in last 30 days (channel_id pre-validated),tier_2,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
Hassan Siddiqui,UCNQmAK19pCzKUR1vMeT0-uA,Hassan Siddiqui,@hassansiddiqui1,57900,385,7,Hassan Siddiqui is live; Hassan Siddiqui is live; Hassan Siddiqui is LIVE,channel_id_direct,high,VERIFIED_ADD_READY,7 video(s) in last 30 days (channel_id pre-validated),tier_2,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
Paul Reacts - Fragrance Influencer,UCItdSScEJS_QuMPHw-zt2Jw,Paul Reacts - Fragrance Influencer,@paulreactss,57500,502,15,best summer vanilla perfumes #vanilla #summer #summerperfume #vanillaperfume #perfume; try to say body badalada 3X fast #soldejaneiro #cheirosa62 #cheirosa48 #greenscreen; what brand are we? #victoriasecret #lattafa #lattafaperfumes #victoriasecretperfume #bodymist,channel_id_direct,high,VERIFIED_ADD_READY,15 video(s) in last 30 days (channel_id pre-validated),tier_2,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
Leni's Scents,UCqMZEtmuHd9ez1BfX7EHqDQ,Leni's Scents,@lenisscents,57400,768,14,Die besten HASELNUSS-PARFUMS – von günstig bis Nische; UNTER 140€! Die beste Duftgarderobe für Frauen!; 🔴 LIVE - Duft-Test-Marathon | Leni's Scents,channel_id_direct,high,VERIFIED_ADD_READY,14 video(s) in last 30 days (channel_id pre-validated),tier_2,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
Anne Lauren,UCY-TQyBGpPWmY8s_tFLlQrQ,Anne Lauren,@annelauren,52400,325,4,perfumes that get me loads of compliments; this fragrance blew me away; fragrances that could be my signature scent if I didn’t have so many perfumes,channel_id_direct,high,VERIFIED_ADD_READY,4 video(s) in last 30 days (channel_id pre-validated),tier_2,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
The Perfume Nest,UCyU1XUvAFqV2X1NVCcRqRNA,The Perfume Nest,@theperfumenest,49100,428,6,SHOCKINGLY GOOD FRAGRANCES | PERFUMES THAT COMPLETELY TOOK ME BY SURPRISE (Part I); A WEEK OF PURPLE FLOWERS; PERFUMES THAT FEATURE  VIOLET & HELIOTROPE    #violet  #perfume; A WEEK OF PURPLE FLOWERS; LILAC & HYACINTH PERFUMES FOR SPRING (AND BEYOND).  #lilac #perfume,channel_id_direct,high,VERIFIED_ADD_READY,6 video(s) in last 30 days (channel_id pre-validated),tier_3,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
Delicious Delights,UCB2uEErrIJUDwNHGAnPdojA,Delicious Delights,@deliciousdelights,48900,1843,15,"Kayali Sweet Peach Review | Worth the Hype?; These perfumes get no hype whatsoever... | D&G Dolce Magnolia, Cavalli Verde Assoluto, Cacharel Ella; Kayali Plush Pear | Worth the Hype?",channel_id_direct,high,SKIP_DUPLICATE,channel_id UCB2uEErrIJUDwNHGAnPdojA already in youtube_channels,tier_3,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
FragranceKnowledge,UCzH0Tal9pApj-F6KSGZHo4Q,FragranceKnowledge,@fragranceknowledge,44700,1373,15,Fragrances that mean a lot to me #fragranceknowledge; Jeremy Fragrances Fragrance One Man #fragranceknowledge; Feature of Fragrance ScentMaxAI #fragranceknowledge,channel_id_direct,high,VERIFIED_ADD_READY,15 video(s) in last 30 days (channel_id pre-validated),tier_3,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
Fragrantix,UC-yhSJPSZzjPokxWTmycoyw,Fragrantix,@fragrantix,44400,261,10,🔥TOP 11 PICKS🔥YOU WILL NEVER REGRET BUYING🔥LONGEST LASTING PERFUMES🔥#fragranceindia #fragrantix; 🔴STOP🔴DON'T BUY COMPLIMENT WORTHY SUMMER FRESHIES WITHOUT WATCHING THIS TOP 08 LIST☀️#fragranceindia; ☝️THIS FOR ₹899🔥BUDGET SUMMER OPTIONS BETTER THAN DESIGNERS🔥#fragranceindia #perfume #budgetperfumes,channel_id_direct,high,VERIFIED_ADD_READY,10 video(s) in last 30 days (channel_id pre-validated),tier_3,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
K&A Fragrances,UCNn5SzNLEe2F9M04sn2aoDA,K&A Fragrances,@kafragrances,42200,251,15,something I’ve been working on for almost a year #cologne #fragrance #perfume￼; introducing my own fragrance Topaz Flame👀🔥 Review coming shortly! #cologne #fragrance #perfume; Week 38: Versace Dylan Blue #fragrance #cologne #perfume,channel_id_direct,high,SKIP_DUPLICATE,channel_id UCNn5SzNLEe2F9M04sn2aoDA already in youtube_channels,tier_3,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
I am Noelle,UCY5whZtRryesHhICe4tzwWQ,I am Noelle,@iamnoelle,41500,1181,15,This is how to k!dnap me….; Are these fragrances worth your 💰?; Men’s fragrances that will make her melt 🤤 save money use  IAMNOELLE10OFF on Luckyscent.com,channel_id_direct,high,SKIP_DUPLICATE,channel_id UCY5whZtRryesHhICe4tzwWQ already in youtube_channels,tier_3,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
Ai_TheGreat,UC56RuZSNuMlZzDj1Bq8bj4g,Ai_TheGreat,@ai_thegreat,41200,910,6,I'm OBSESSED with the affordable beaded bags from TJ Maxx and Marshall's! Affordable Summer bag haul; Extremely long SEPHORA SALE HAUL!! Everything I purchased during the Sephora Spring Savings Event; How to confidently spray your fragrance to make it last and get compliments,channel_id_direct,high,VERIFIED_ADD_READY,6 video(s) in last 30 days (channel_id pre-validated),tier_3,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
Lauren Mae Fragrance,UCLJbk3Vkrj8XgdTTfuCfGMA,Lauren Mae Fragrance,@laurenmaefragrance,39100,168,4,fragrances I LOVE; fragrance haul!! (sephora + more); 10 fragrances you NEED to smell at Sephora (new & old),channel_id_direct,high,SKIP_DUPLICATE,channel_id UCLJbk3Vkrj8XgdTTfuCfGMA already in youtube_channels,tier_3,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
Fragrance House,UC11CT1THiGs6fQwIpH2QJfQ,Fragrance House,@fragrancehouse,37800,657,4,Is This The NEW Compliment King? | Acqua Di Gio Elixir Review; Summer Compliment Monster? | Rayhaan Aquatica Review 🌴; Compliment Monster for Summer? 👀 | Orto Parisi Risvelium Review,channel_id_direct,high,VERIFIED_ADD_READY,4 video(s) in last 30 days (channel_id pre-validated),tier_3,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
MAGS FRAGS - Fragrance Reviews,UCpADiPCq2CpF0hmBDso8kdA,MAGS FRAGS - Fragrance Reviews,@magsfrags2020,37400,432,1,THE VERY BEST STONE CHIP REMOVAL TOUCH UP PAINT - CHIPEX,channel_id_direct,high,VERIFIED_ADD_READY,1 video(s) in last 30 days (channel_id pre-validated),tier_3,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
Rhonda Lareese,UCTVeHZt9z-HNgbCqE3hIZ5g,Rhonda Lareese,@rhondalareese,36900,323,0,,channel_id_direct,high,SKIP_INACTIVE,No videos published in last 30 days,tier_3,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
Sandra Solomon Fragrance,UC28LF9JBelUwMt7M1ZTkVpw,Sandra Solomon Fragrance,@sandrasolomonfragrance,36600,753,0,,channel_id_direct,high,SKIP_INACTIVE,No videos published in last 30 days,tier_3,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
Perfumes With Pratha,UClps5byr23beMTYzlV4EqJA,Perfumes With Pratha,@prathabhardwaj,36700,742,11,Perfumes With Pratha is live; Perfumes With Pratha is live; Perfumes With Pratha is live,channel_id_direct,high,VERIFIED_ADD_READY,11 video(s) in last 30 days (channel_id pre-validated),tier_3,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
Scented Moments,UCd7OAY06IuwYsUoWsn3gbuQ,Scented Moments,@scentedmoments,36000,611,2,Top Spring Perfumes; Best Spring Fragrances 2026,channel_id_direct,high,VERIFIED_ADD_READY,2 video(s) in last 30 days (channel_id pre-validated),tier_3,YT-CREATOR-EXPANSION-02-AGENT-APPROVED-136
